City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,homer,59.6425,-151.5483,16.54,72,75,2.57,US,06-21-2024
1,bull savanna,17.8868,-77.5902,27.58,73,82,7.28,JM,06-21-2024
2,margaret river,-33.95,115.0667,13.76,59,99,9.31,AU,06-21-2024
3,villeta,5.0089,-74.4723,28.34,99,100,0.65,CO,06-21-2024
4,tofol,5.3248,163.0078,28.07,75,84,3.79,FM,06-21-2024
5,francistown,-21.17,27.5079,12.09,67,0,3.51,BW,06-21-2024
6,marshfield,44.6689,-90.1718,18.0,100,100,4.63,US,06-21-2024
7,broken hill,-31.95,141.4333,4.72,77,2,3.58,AU,06-21-2024
8,albany,42.6001,-73.9662,27.91,71,51,0.45,US,06-21-2024
9,georgetown,5.4112,100.3354,24.97,88,40,2.06,MY,06-21-2024
10,kavieng,-2.5744,150.7967,28.25,78,89,4.43,PG,06-21-2024
11,vilyuysk,63.7553,121.6247,18.88,73,11,1.28,RU,06-21-2024
12,adamstown,-25.066,-130.1015,20.39,74,83,1.85,PN,06-21-2024
13,kikwit,-5.041,18.8162,24.99,39,17,1.05,CD,06-21-2024
14,waitangi,-43.9535,-176.5597,9.34,90,48,0.45,NZ,06-21-2024
15,blackmans bay,-43.0167,147.3167,5.29,90,18,0.45,AU,06-21-2024
16,alesund,62.4723,6.1549,14.86,87,0,0.51,NO,06-21-2024
17,crest,44.7284,5.0272,18.56,66,1,2.54,FR,06-21-2024
18,wuhu,31.3366,118.3755,25.78,96,100,4.3,CN,06-21-2024
19,port-aux-francais,-49.35,70.2167,1.99,93,73,6.32,TF,06-21-2024
20,kayar,14.9192,-17.1211,26.53,75,5,3.74,SN,06-21-2024
21,ushuaia,-54.8,-68.3,-2.19,80,20,2.06,AR,06-21-2024
22,andergrove,-21.0833,149.1833,18.69,82,100,1.28,AU,06-21-2024
23,iqaluit,63.7506,-68.5145,5.85,75,75,6.17,CA,06-21-2024
24,west island,-12.1568,96.8225,27.99,78,20,5.14,CC,06-21-2024
25,ahualulco de mercado,20.7014,-103.9746,24.26,65,95,0.67,MX,06-21-2024
26,qaqortoq,60.7167,-46.0333,2.37,97,100,2.48,GL,06-21-2024
27,bethel,41.3712,-73.414,31.2,84,100,5.66,US,06-21-2024
28,khandyga,62.6667,135.6,20.41,61,99,1.56,RU,06-21-2024
29,bandon,51.7469,-8.7425,13.77,91,0,2.76,IE,06-21-2024
30,grytviken,-54.2811,-36.5092,-8.28,83,22,5.05,GS,06-21-2024
31,papatowai,-46.5619,169.4708,8.06,74,93,1.36,NZ,06-21-2024
32,morondava,-20.2833,44.2833,21.3,79,0,4.75,MG,06-21-2024
33,jayapura,-2.5333,140.7,23.66,95,100,2.21,ID,06-21-2024
34,ranot,7.7777,100.3213,26.95,78,96,6.82,TH,06-21-2024
35,santa lucia,27.9117,-15.5407,17.19,64,75,12.35,ES,06-21-2024
36,port augusta,-32.5,137.7667,5.18,79,0,1.23,AU,06-21-2024
37,trenggalek,-8.05,111.7167,22.57,89,100,0.91,ID,06-21-2024
38,thompson,55.7435,-97.8558,26.09,25,75,4.12,CA,06-21-2024
39,malango,-2.9627,119.9001,18.7,98,95,0.8,ID,06-21-2024
40,yarmouth,41.7057,-70.2286,26.06,80,0,4.47,US,06-21-2024
41,ingeniero guillermo n. juarez,-23.9,-61.85,29.51,45,0,4.17,AR,06-21-2024
42,constantia,44.1833,28.65,17.61,70,38,3.23,RO,06-21-2024
43,jamestown,42.097,-79.2353,29.77,65,40,3.09,US,06-21-2024
44,nelson bay,-32.7167,152.15,11.11,85,61,7.75,AU,06-21-2024
45,keflavik,64.0049,-22.5624,12.95,93,100,2.57,IS,06-21-2024
46,tura,25.5198,90.2201,24.43,96,32,1.47,IN,06-21-2024
